Pres Vapor Caldeira;Tx Compressao Matriz;Afastamento Rolos;Amperagem Condicionador;Velocidade Alimentador;Porc Temp Condicionador;Pressao Vapor;Amperagem Peletizadora;Porc Finos Tyl6;Porc Pdi Tyl6
9,6;18,75;0;44;80;86;1,6;590;18,8729874776386404293381037567084078712;77,6
8,8;18,75;0;40;71;86;1,7;630;12,06624605678233438485804416403785488959;81,4
8,8;18,94;0;39;43;71;1,5;574;15,47721410146173688736027515047291487532;78,2
9;18,94;0;40;45;70;1,5;635;18,43525179856115107913669064748201438849;71
8;18,75;0;41;70;77;1,7;605;22,03548085901027077497665732959850606909;73,2
9,2;18;0;39;70;75;1,7;628;19,40425531914893617021276595744680851064;73,4
9,3;15;1;36;30;73;1,4;556;12,98701298701298701298701298701298701299;85,2
9,3;15;0;40;36;68;1,7;653;14,76109215017064846416382252559726962457;82
9,4;15;0;36;35;68;1,6;648;7,39673390970220941402497598463016330451;84,6
9,4;18,75;0;50;69;76;1,7;551;14,58333333333333333333333333333333333333;81
8,9;18,94;0;39;41;68;1,6;611;11,16751269035532994923857868020304568528;85
9,3;18,75;0;50;73;75;1,7;564;15,77649958915365653245686113393590797042;82
9,1;18,94;0;41;46;70;1,6;630;11,65203511572226656025538707102952913009;82,8
8,9;18,75;0;44;69;76;1,7;631;13,16211878009630818619582664526484751204;85
9;15;0;40;43;71;1,6;613;11,87084520417853751187084520417853751187;84,8
9,1;18;0;38;70;70;1,7;613;15,6954887218045112781954887218045112782;83,8
8;18;0;40;72;70;1,8;623;17,70376862401402278702892199824715162138;79,6
8,6;18;0;45;72;76;1,8;637;16,61157024793388429752066115702479338843;82
8,9;18,75;0;49;69;76;1,7;547;15,28822055137844611528822055137844611529;75,8
8,9;18,94;0;39;41;67;1,6;602;14,10365335598980458793542905692438402719;81,6
5,8;18,75;0;48;69;76;1,7;541;16,8989547038327526132404181184668989547;76,8
9,4;18,94;0;40;41;67;1,6;616;13,73035566583953680727874276261373035567;80,6
8,7;18,75;0;49;77;76;1,7;602;17,13255184851217312894499549143372407574;78
9,1;18,94;0;40;44;70;1,6;611;14,27335640138408304498269896193771626298;82
7,6;18;0;45;73;78;1,7;620;16,01455868971792538671519563239308462238;80
8,7;18,75;0;43;71;77;1,7;626;12,78863232682060390763765541740674955595;80,6
8,5;18,75;0;41;67;78;1,7;623;16,13445378151260504201680672268907563025;76
9,2;18,94;0;40;48;68;1,6;578;13,80417335473515248796147672552166934189;82,6
